Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange
STAG,STAG INDUSTRIAL REIT INC,Real Estate,Equity,"50,54,003.50",0.01,"50,54,003.50","1,30,325.00",38.78,United States,NYSE
AXTA,AXALTA COATING SYSTEMS LTD,Materials,Equity,"50,50,235.19",0.01,"50,50,235.19","1,52,529.00",33.11,United States,NYSE
ENPH,ENPHASE ENERGY INC,Information Technology,Equity,"50,45,699.11",0.01,"50,45,699.11","92,429.00",54.59,United States,NASDAQ
AGCO,AGCO CORP,Industrials,Equity,"50,33,702.52",0.01,"50,33,702.52","44,748.00",112.49,United States,NYSE
AUR,AURORA INNOVATION INC CLASS A,Information Technology,Equity,"50,23,731.16",0.01,"50,23,731.16","8,19,532.00",6.13,United States,NASDAQ
ST,SENSATA TECHNOLOGIES HOLDING PLC,Industrials,Equity,"49,97,512.80",0.01,"49,97,512.80","99,157.00",50.4,United States,NYSE
THG,HANOVER INSURANCE GROUP INC,Financials,Equity,"49,79,396.45",0.01,"49,79,396.45","25,193.00",197.65,United States,NYSE
CART,MAPLEBEAR INC,Consumer Staples,Equity,"49,82,231.02",0.01,"49,82,231.02","1,20,796.00",41.24,United States,NASDAQ
EXP,EAGLE MATERIALS INC,Materials,Equity,"49,70,983.50",0.01,"49,70,983.50","23,094.00",215.25,United States,NYSE
TAP,MOLSON COORS BREWING CLASS B,Consumer Staples,Equity,"49,72,302.72",0.01,"49,72,302.72","1,19,584.00",41.58,United States,NYSE
PAYC,PAYCOM SOFTWARE INC,Industrials,Equity,"48,77,829.72",0.01,"48,77,829.72","36,261.00",134.52,United States,NYSE
GTES,GATES INDUSTRIAL PLC,Industrials,Equity,"48,25,437.72",0.01,"48,25,437.72","1,77,798.00",27.14,United States,NYSE
M,MACYS INC,Consumer Discretionary,Equity,"48,06,955.38",0.01,"48,06,955.38","1,89,474.00",25.37,United States,NYSE
