Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Federal Bank","https://scanx.trade/company/federal-bank-ltd","287.20","1.22%","284.15","67,56,952","70,795.28","15.58","17.92","302.00","185.11","-2.89%","-1.85%","43.01%","127.67%","237.29%","1.82","0.42%","12.70%","6.45%","16.45","280.83","250.12","50.90","76.00%","87.50%"
"Biocon","https://scanx.trade/company/biocon-ltd","430.25","-0.14%","433.00","37,77,650","69,739.56","189.06","13.45","436.90","327.60","19.02%","12.06%","26.30%","77.97%","12.48%","2.05","0.12%","5.13%","6.26%","13.00","377.28","375.46","75.79","75.63%","87.50%"
"Swiggy","https://scanx.trade/company/swiggy-ltd","249.95","-0.32%","251.00","64,47,196","68,994.04","-16.67","35.52","474.00","247.30","-11.93%","-22.81%","-20.35%","-45.19%","-45.19%","3.78","-","-","-25.96%","-","274.81","359.63","35.85","65.00%","84.73%"
"Nippon Life India AMC","https://scanx.trade/company/nippon-life-india-asset-management-ltd","1,080.40","0.15%","1,089.00","8,88,517","68,859.87","45.03","42.91","1,125.00","712.10","2.37%","12.89%","45.70%","357.22%","207.89%","14.78","1.99%","27.78%","38.47%","19.06","959.74","890.79","57.58","65.60%","80.00%"
"Yes Bank","https://scanx.trade/company/yes-bank-ltd","21.87","1.39%","21.60","8,70,40,517","68,627.25","19.26","17.92","24.30","17.20","10.62%","3.94%","4.24%","39.74%","63.82%","1.32","-","3.05%","5.95%","0.46","19.91","21.05","59.29","70.00%","87.10%"
"L&T Finance","https://scanx.trade/company/lt-finance-holdings-ltd","270.15","0.11%","269.05","69,58,075","67,655.99","22.66","42.91","329.45","169.25","-7.45%","-9.27%","55.63%","171.10%","196.87%","2.42","1.02%","9.85%","10.11%","9.93","274.25","271.81","39.23","75.00%","86.38%"
"Alkem Laboratories","https://scanx.trade/company/alkem-laboratories-ltd","5,404.50","-1.76%","5,530.00","64,842","64,618.90","27.14","13.45","5,933.50","4,716.20","-5.13%","0.23%","0.57%","63.67%","79.94%","4.93","0.82%","16.91%","19.29%","179.80","5,422.64","5,501.38","46.26","78.00%","87.50%"
"Phoenix Mills","https://scanx.trade/company/phoenix-mills-ltd","1,790.30","-0.30%","1,794.70","2,22,975","64,027.14","41.27","14.55","1,993.00","1,402.50","-0.92%","3.29%","10.66%","153.07%","388.71%","5.85","0.14%","13.29%","10.43%","61.08","1,690.52","1,682.32","56.04","73.22%","86.89%"
"Glenmark Pharmaceuticals","https://scanx.trade/company/glenmark-pharmaceuticals-ltd","2,259.10","-5.60%","2,390.00","15,93,969","63,751.98","63.32","13.45","2,474.00","1,370.00","1.16%","10.57%","56.87%","261.86%","272.02%","7.04","0.10%","3.84%","15.93%","-","2,249.84","2,046.45","44.66","75.73%","87.50%"
"Bank of India","https://scanx.trade/company/bank-of-india-ltd","139.92","0.50%","139.50","57,89,870","63,700.93","6.15","8.71","178.36","108.81","-6.61%","-18.51%","18.62%","84.83%","78.47%","0.78","3.34%","9.28%","5.62%","15.14","145.17","140.53","44.61","70.00%","85.95%"
"UNO Minda","https://scanx.trade/company/minda-industries-ltd","1,089.30","0.95%","1,085.00","11,31,416","62,907.95","48.53","130.68","1,382.00","972.00","-5.25%","-8.86%","9.09%","104.35%","288.90%","9.13","0.25%","17.56%","19.22%","15.45","1,089.60","1,199.69","46.71","70.00%","70.00%"
"Info Edge","https://scanx.trade/company/naukri-info-edge-ltd","960.95","3.75%","932.00","93,64,081","62,309.98","35.63","35.52","1,550.00","914.80","-10.83%","-10.59%","-34.87%","25.48%","10.87%","1.24","0.65%","1.88%","4.80%","53.82","983.08","1,229.07","47.78","75.95%","87.50%"
"Oberoi Realty","https://scanx.trade/company/oberoi-realty-ltd","1,659.60","0.31%","1,654.40","2,86,005","60,343.43","23.96","14.55","2,005.00","1,391.20","-3.73%","8.95%","-4.17%","80.70%","171.18%","3.35","0.48%","13.92%","16.69%","60.22","1,594.83","1,619.31","53.83","75.70%","87.50%"
"Prestige Estates Projects","https://scanx.trade/company/prestige-estate-ltd","1,388.50","0.21%","1,408.50","14,91,323","59,806.89","56.46","14.55","1,814.00","1,090.00","-1.01%","-6.62%","-3.08%","191.18%","418.39%","3.77","0.13%","10.40%","8.96%","33.42","1,327.62","1,527.95","51.22","72.15%","85.17%"
"IDFC First Bank","https://scanx.trade/company/idfc-first-bank-ltd","68.88","0.85%","68.39","1,27,17,449","59,245.13","36.53","17.92","87.00","58.08","1.38%","-17.52%","3.31%","3.11%","20.31%","1.25","0.37%","9.12%","5.55%","3.82","66.17","74.52","53.05","76.00%","86.55%"
"SBI Cards","https://scanx.trade/company/sbi-cards-ltd","620.20","-","619.60","5,80,756","59,017.90","27.24","42.91","1,027.25","612.10","-8.76%","-21.05%","-31.33%","-30.44%","-41.72%","3.75","0.40%","19.93%","20.03%","25.33","664.11","796.85","32.42","76.00%","87.50%"
"Colgate Palmolive","https://scanx.trade/company/colgate-palmolive-ltd","2,156.90","-0.37%","2,169.30","2,04,566","58,664.58","44.36","38.75","2,676.90","1,782.00","2.39%","-1.87%","-18.89%","34.07%","32.08%","37.20","2.36%","70.62%","111.07%","51.99","2,037.62","2,163.02","55.62","78.00%","87.50%"
"Tube Investment","https://scanx.trade/company/tube-invest-of-india-ltd","3,011.30","0.36%","3,011.40","2,24,252","58,282.18","51.93","21.18","3,419.90","2,164.90","4.37%","16.46%","0.29%","11.49%","156.25%","7.49","0.12%","17.60%","15.90%","34.13","2,769.86","2,818.37","59.30","74.32%","85.33%"
"Max Financial Services","https://scanx.trade/company/max-financial-services-ltd","1,680.00","3.32%","1,632.00","11,05,535","57,979.28","531.34","35.52","1,892.50","1,368.00","1.89%","-9.15%","20.28%","149.85%","86.10%","10.62","-","8.99%","6.69%","11.00","1,623.38","1,639.77","57.35","75.00%","87.50%"
"Vishal Mega Mart","https://scanx.trade/company/vishal-mega-mart-ltd","121.66","-1.35%","123.26","57,42,149","56,853.15","68.88","13.90","157.60","98.77","-1.32%","4.07%","-0.76%","8.69%","8.69%","7.77","-","-","13.04%","-","115.63","131.84","52.55","65.00%","87.50%"
"Rail Vikas Nigam","https://scanx.trade/company/rail-vikas-nigam-ltd","271.10","0.13%","271.50","72,45,031","56,524.89","49.10","14.55","442.80","248.00","-9.29%","-13.14%","-34.21%","133.30%","805.18%","5.90","0.64%","19.39%","14.76%","6.98","281.55","317.61","37.07","67.60%","82.41%"
"UPL","https://scanx.trade/company/upl-united-phosphorus-ltd","632.00","0.48%","632.05","22,17,195","53,351.50","23.86","47.43","812.20","565.15","-3.41%","-16.00%","-1.00%","-1.37%","-15.51%","1.53","-","-5.74%","7.50%","-","631.93","697.70","46.77","76.00%","86.33%"
"APL Apollo Tubes","https://scanx.trade/company/apl-apollo-tubes-ltd","1,880.50","1.07%","1,863.80","2,85,536","52,209.45","42.94","21.18","2,301.40","1,492.00","-10.73%","-14.03%","3.64%","72.10%","200.15%","9.75","0.46%","21.36%","22.02%","26.38","1,966.88","1,863.80","42.03","76.00%","87.50%"
"Godrej Properties","https://scanx.trade/company/godrej-properties-ltd","1,732.90","-0.23%","1,743.30","4,14,841","52,196.29","28.39","14.55","2,506.50","1,434.00","-3.99%","-5.08%","-20.55%","31.06%","32.76%","2.73","0.58%","7.25%","8.74%","40.29","1,696.38","1,919.19","47.82","73.82%","84.66%"
"Motilal Oswal Financial Services","https://scanx.trade/company/motilal-oswal-financial-services-ltd","849.45","0.74%","845.00","5,65,809","51,125.00","27.10","42.91","1,097.10","614.90","3.44%","10.43%","6.18%","446.31%","318.14%","3.94","0.71%","27.89%","25.66%","46.83","766.39","857.85","58.07","61.83%","80.00%"
"Patanjali Foods","https://scanx.trade/company/ruchi-soya-industries-ltd","463.45","0.04%","464.00","13,14,806","50,428.19","30.60","15.69","653.93","438.00","-0.99%","-13.28%","-19.40%","46.02%","-54.66%","4.16","0.72%","1.75%","15.86%","25.98","468.31","541.68","50.31","75.00%","87.50%"
"KEI Industries","https://scanx.trade/company/kei-industries-ltd","5,260.50","0.45%","5,262.50","4,10,075","50,290.69","54.52","21.79","5,303.00","3,411.40","9.01%","10.61%","53.30%","159.78%","768.86%","7.51","0.09%","18.44%","16.86%","67.58","4,654.01","4,311.09","65.87","70.00%","80.00%"
